function_name,function_type,dimension,point_index,point,multiindex,order,encoded_degree,exact_value,predicted_value,abs_error,squared_error
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","1,3",4,4.13,6,6,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","2,2",4,4.22,0,0,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","3,1",4,4.31,0,0,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","4,0",4,4.40,36,36,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","0,5",5,5.05,90,90,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","1,4",5,5.14,0,0,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","2,3",5,5.23,0,0,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","3,2",5,5.32,0,0,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","4,1",5,5.41,0,0,0,0
poly_2d,polynomial,2,2,"-0.30590294827201359;0.37988529557154249","5,0",5,5.50,0,0,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","0,1",1,1.01,0.029812395231995296,0.029812395231995296,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","1,0",1,1.10,0.0078009522016447459,0.0078009522016447425,3.4694469519536142E-18,1.2037062152420224E-35
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","0,2",2,2.02,0.39160298283532141,0.3916029828353213,1.1102230246251565E-16,1.2325951644078309E-32
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","1,1",2,2.11,0.19525898292506966,0.19525898292506966,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","2,0",2,2.20,-1.1571184802341121,-1.1571184802341121,0,0
poly_2d,polynomial,2,3,"0.014350015044645392;0.29020627325154502","0,3",3,3.03,3.8759857368226407,3.8759857368226411,4.4408920985006262E-16,1.9721522630525295E-31
